who: tuge
who: tuge
who: tuge
who: tuge
who: tuge
wind: numorighi
wind: numorighi
wind: numoriɣi
wind: numoriɣi
wind: numoriɣi
wind: numoriɣi
wind: numoriɣi
wind: n(y)umorighi
wind: ɲumoriɣi
wing: mindara
wing: mindara
wing: mindara
wing: nimbraʔa
wing: nimbre\e
wing: nimbre\e
wing: nimbreʔe
wing: nimbreʔe
wing: nimbreʔe
with: fu
with: fu
with: fu
woman: ɲimbweg
woman: nyumbweg
woman: nyumbweg
woman: nyumb(w)eg
woman: ɲubweg
woman: ɲumbweg
woman: ɲumbweg
woman: ɲumbweg
woman: ɲumbweg
woman: ɲumbweg
year: ber
yesterday: kambe
yesterday: kambe
yesterday: kambe
yesterday: kambe
yesterday: kambe
yesterday: ngambe
yesterday: ngambe
yesterday: ŋambe
yesterday: ŋambe
yesterday: ŋambe
you: nu
you two: w-
you: w-
