identifier	encoding	kind	kept	dropped
rosettaproject_dyy_swadesh-1	utf-8	transcription	329	8
rosettaproject_dzg_swadesh-1	utf-8	transcription	325	7
rosettaproject_eip_swadesh-1	utf-8	transcription	326	108
rosettaproject_eit_swadesh-1	utf-8	transcription	20	0
rosettaproject_eiv_swadesh-1	utf-8	transcription	149	6
rosettaproject_ekg_swadesh-1	utf-8	transcription	1230	445
rosettaproject_ele_swadesh-1	utf-8	transcription	175	33
rosettaproject_eli_swadesh-1	utf-8	transcription	199	0
rosettaproject_elk_swadesh-1	utf-8	transcription	67	33
rosettaproject_ell_swadesh-1	utf-8	transcription	207	0
rosettaproject_ena_swadesh-1	utf-8	transcription	412	55
rosettaproject_eng_swadesh-2	utf-8	gloss-only	207	0
rosettaproject_enq_swadesh-1	utf-8	transcription	723	518
rosettaproject_enr_swadesh-1	utf-8	transcription	214	50
rosettaproject_epo_swadesh-1	utf-8	transcription	211	0
rosettaproject_eri_swadesh-1	utf-8	transcription	382	103
rosettaproject_ert_swadesh-1	utf-8	transcription	250	185
rosettaproject_etr_swadesh-1	utf-8	transcription	170	31
rosettaproject_etz_swadesh-1	utf-8	transcription	197	55
rosettaproject_eus_swadesh-1	utf-8	transcription	174	0
rosettaproject_faa_swadesh-1	utf-8	transcription	397	212
rosettaproject_fad_swadesh-1	utf-8	transcription	360	122
rosettaproject_fag_swadesh-1	utf-8	transcription	52	0
rosettaproject_fai_swadesh-1	utf-8	transcription	119	4
rosettaproject_faj_swadesh-1	utf-8	transcription	321	120
rosettaproject_fao_swadesh-1	utf-8	transcription	60	0
rosettaproject_fap_swadesh-1	utf-8	transcription	133	1
rosettaproject_fau_swadesh-1	utf-8	transcription	293	176
rosettaproject_fgr_swadesh-1	utf-8	transcription	50	0
rosettaproject_fij_swadesh-1	utf-8	transcription	184	2
rosettaproject_fin_swadesh-1	utf-8	transcription	210	0
rosettaproject_flh_swadesh-1	utf-8	transcription	42	44
rosettaproject_foi_swadesh-1	utf-8	transcription	621	188
rosettaproject_for_swadesh-1	utf-8	transcription	232	1
rosettaproject_fqs_swadesh-1	utf-8	transcription	322	29
rosettaproject_fra_swadesh-3	utf-8	transcription	247	10
rosettaproject_fuc_swadesh-1	utf-8	transcription	164	31
rosettaproject_fuj_swadesh-1	utf-8	transcription	298	3
rosettaproject_fuv_swadesh-1	utf-8	transcription	133	0
rosettaproject_fuy_swadesh-1	utf-8	transcription	596	353
rosettaproject_fvr_swadesh-1	utf-8	transcription	478	41
rosettaproject_gaf_swadesh-1	utf-8	transcription	351	106
rosettaproject_gag_swadesh-1	utf-8	transcription	200	0
rosettaproject_gah_swadesh-1	utf-8	transcription	389	133
rosettaproject_gai_swadesh-1	utf-8	transcription	101	8
rosettaproject_gao_swadesh-1	utf-8	transcription	7	0
rosettaproject_gap_swadesh-1	utf-8	transcription	350	120
rosettaproject_gaw_swadesh-1	utf-8	transcription	327	163
rosettaproject_gax_swadesh-1	utf-8	transcription	97	0
