identifier	lang_code	gloss	transcription_norm	ipa	residual
rosettaproject_epo_swadesh-1	epo	dog	hundo	hundo	
rosettaproject_epo_swadesh-1	epo	drink	trinki	trinki	
rosettaproject_epo_swadesh-1	epo	dry	seka	seka	
rosettaproject_epo_swadesh-1	epo	dull	malakra	malakra	
rosettaproject_epo_swadesh-1	epo	dust	polvo	polvo	
rosettaproject_epo_swadesh-1	epo	ear	orelo	orelo	
rosettaproject_epo_swadesh-1	epo	earth	tero	tero	
rosettaproject_epo_swadesh-1	epo	eat	manghi	manɡhi	
rosettaproject_epo_swadesh-1	epo	egg	ovo	ovo	
rosettaproject_epo_swadesh-1	epo	eye	okulo	okulo	
rosettaproject_epo_swadesh-1	epo	fall	fali	fali	
rosettaproject_epo_swadesh-1	epo	far	for	for	
rosettaproject_epo_swadesh-1	epo	fat (n.)	graso	ɡraso	
rosettaproject_epo_swadesh-1	epo	father	patro	patro	
rosettaproject_epo_swadesh-1	epo	fear	timi	timi	
rosettaproject_epo_swadesh-1	epo	feather	plumo	plumo	
rosettaproject_epo_swadesh-1	epo	few	malmultaj	malmultaj	
rosettaproject_epo_swadesh-1	epo	fight	batali	batali	
rosettaproject_epo_swadesh-1	epo	fingernail	ungo	unɡo	
rosettaproject_epo_swadesh-1	epo	fire	fajro	fajro	
rosettaproject_epo_swadesh-1	epo	fish	fisho	fisho	
rosettaproject_epo_swadesh-1	epo	five	kvin	kvin	
rosettaproject_epo_swadesh-1	epo	float	flosi	flosi	
rosettaproject_epo_swadesh-1	epo	flow	flui	flui	
rosettaproject_epo_swadesh-1	epo	flower	floro	floro	
rosettaproject_epo_swadesh-1	epo	fly (v.)	flugi	fluɡi	
rosettaproject_epo_swadesh-1	epo	fog	nebulo	nebulo	
rosettaproject_epo_swadesh-1	epo	foot	piedo	piedo	
rosettaproject_epo_swadesh-1	epo	forest	arbaro	arbaro	
rosettaproject_epo_swadesh-1	epo	four	kvar	kvar	
rosettaproject_epo_swadesh-1	epo	freeze	glaciigi	ɡlaʦiiɡi	
rosettaproject_epo_swadesh-1	epo	fruit	frukto	frukto	
rosettaproject_epo_swadesh-1	epo	full	plena	plena	
rosettaproject_epo_swadesh-1	epo	give	doni	doni	
rosettaproject_epo_swadesh-1	epo	good	bona	bona	
rosettaproject_epo_swadesh-1	epo	grass	herbo	herbo	
rosettaproject_epo_swadesh-1	epo	green	verda	verda	
rosettaproject_epo_swadesh-1	epo	guts	intesto	intesto	
rosettaproject_epo_swadesh-1	epo	hair	hararo	hararo	
rosettaproject_epo_swadesh-1	epo	hair	haro	haro	
rosettaproject_epo_swadesh-1	epo	hand	mano	mano	
rosettaproject_epo_swadesh-1	epo	he	li	li	
rosettaproject_epo_swadesh-1	epo	head	kapo	kapo	
rosettaproject_epo_swadesh-1	epo	hear	audi	audi	
rosettaproject_epo_swadesh-1	epo	heart	koro	koro	
rosettaproject_epo_swadesh-1	epo	heavy	peza	peza	
rosettaproject_epo_swadesh-1	epo	here	chi-tie	ʦhi tie	
rosettaproject_epo_swadesh-1	epo	hit	bati	bati	
rosettaproject_epo_swadesh-1	epo	hold	teni	teni	
rosettaproject_epo_swadesh-1	epo	horn	korno	korno	
rosettaproject_epo_swadesh-1	epo	how	kiel	kiel	
rosettaproject_epo_swadesh-1	epo	hunt	chasi	ʦhasi	
rosettaproject_epo_swadesh-1	epo	husband	edzo	edzo	
rosettaproject_epo_swadesh-1	epo	i	mi	mi	
rosettaproject_epo_swadesh-1	epo	ice	glacio	ɡlaʦio	
rosettaproject_epo_swadesh-1	epo	if	se	se	
rosettaproject_epo_swadesh-1	epo	in	en	en	
rosettaproject_epo_swadesh-1	epo	kill	mortigi	mortiɡi	
rosettaproject_epo_swadesh-1	epo	knee	genuo	ɡenuo	
rosettaproject_epo_swadesh-1	epo	know	koni	koni	
rosettaproject_epo_swadesh-1	epo	know	scii	sʦii	
rosettaproject_epo_swadesh-1	epo	lake	lago	laɡo	
rosettaproject_epo_swadesh-1	epo	laugh	ridi	ridi	
rosettaproject_epo_swadesh-1	epo	leaf	folio	folio	
rosettaproject_epo_swadesh-1	epo	left	maldekstra	maldekstra	
rosettaproject_epo_swadesh-1	epo	leg	gambo	ɡambo	
rosettaproject_epo_swadesh-1	epo	lie	kushi	kushi	
rosettaproject_epo_swadesh-1	epo	live	vivi	vivi	
rosettaproject_epo_swadesh-1	epo	liver	hepato	hepato	
rosettaproject_epo_swadesh-1	epo	long	longa	lonɡa	
rosettaproject_epo_swadesh-1	epo	louse	homlauso	homlauso	
rosettaproject_epo_swadesh-1	epo	louse	pediko	pediko	
rosettaproject_epo_swadesh-1	epo	man	viro	viro	
rosettaproject_epo_swadesh-1	epo	many	multaj	multaj	
rosettaproject_epo_swadesh-1	epo	meat	viando	viando	
rosettaproject_epo_swadesh-1	epo	moon	luno	luno	
rosettaproject_epo_swadesh-1	epo	mother	patrino	patrino	
rosettaproject_epo_swadesh-1	epo	mountain	monto	monto	
rosettaproject_epo_swadesh-1	epo	mouth	busho	busho	
rosettaproject_epo_swadesh-1	epo	name	nomo	nomo	
rosettaproject_epo_swadesh-1	epo	narrow	mallargha	mallarɡha	
rosettaproject_epo_swadesh-1	epo	near	proksime	proksime	
rosettaproject_epo_swadesh-1	epo	neck	kolo	kolo	
rosettaproject_epo_swadesh-1	epo	new	nova	nova	
rosettaproject_epo_swadesh-1	epo	night	nokto	nokto	
rosettaproject_epo_swadesh-1	epo	nose	nazo	nazo	
rosettaproject_epo_swadesh-1	epo	not	ne	ne	
rosettaproject_epo_swadesh-1	epo	old	maljuna	maljuna	
rosettaproject_epo_swadesh-1	epo	one	unu	unu	
rosettaproject_epo_swadesh-1	epo	other	alia	alia	
rosettaproject_epo_swadesh-1	epo	person	homo	homo	
rosettaproject_epo_swadesh-1	epo	play	ludi	ludi	
rosettaproject_epo_swadesh-1	epo	pull	tiri	tiri	
rosettaproject_epo_swadesh-1	epo	push	pushi	pushi	
rosettaproject_epo_swadesh-1	epo	rain	pluvi	pluvi	
rosettaproject_epo_swadesh-1	epo	red	rugha	ruɡha	
rosettaproject_epo_swadesh-1	epo	right	dekstra	dekstra	
rosettaproject_epo_swadesh-1	epo	river	rivero	rivero	
rosettaproject_epo_swadesh-1	epo	road	vojo	vojo	
rosettaproject_epo_swadesh-1	epo	root	radiko	radiko	
rosettaproject_epo_swadesh-1	epo	rope	shnuro	shnuro	
rosettaproject_epo_swadesh-1	epo	rotten	putra	putra	
rosettaproject_epo_swadesh-1	epo	round	ronda	ronda	
rosettaproject_epo_swadesh-1	epo	rub	froti	froti	
rosettaproject_epo_swadesh-1	epo	salt	salo	salo	
rosettaproject_epo_swadesh-1	epo	sand	sablo	sablo	
rosettaproject_epo_swadesh-1	epo	say	diri	diri	
rosettaproject_epo_swadesh-1	epo	scratch	grati	ɡrati	
rosettaproject_epo_swadesh-1	epo	sea	maro	maro	
rosettaproject_epo_swadesh-1	epo	see	vidi	vidi	
rosettaproject_epo_swadesh-1	epo	seed	semo	semo	
rosettaproject_epo_swadesh-1	epo	sew	kudri	kudri	
rosettaproject_epo_swadesh-1	epo	sharp	akra	akra	
rosettaproject_epo_swadesh-1	epo	short	mallonga	mallonɡa	
rosettaproject_epo_swadesh-1	epo	sing	kanti	kanti	
rosettaproject_epo_swadesh-1	epo	sit	sidi	sidi	
rosettaproject_epo_swadesh-1	epo	skin	hauto	hauto	
rosettaproject_epo_swadesh-1	epo	sky	chielo	ʦhielo	
rosettaproject_epo_swadesh-1	epo	sleep	dormi	dormi	
rosettaproject_epo_swadesh-1	epo	small	malgranda	malɡranda	
rosettaproject_epo_swadesh-1	epo	smell	flari	flari	
rosettaproject_epo_swadesh-1	epo	smoke	fumo	fumo	
rosettaproject_epo_swadesh-1	epo	smooth	glata	ɡlata	
rosettaproject_epo_swadesh-1	epo	snake	serpento	serpento	
rosettaproject_epo_swadesh-1	epo	snow	negho	neɡho	
rosettaproject_epo_swadesh-1	epo	some	iom	iom	
rosettaproject_epo_swadesh-1	epo	spit	krachi	kraʦhi	
rosettaproject_epo_swadesh-1	epo	split	fendi	fendi	
rosettaproject_epo_swadesh-1	epo	squeeze	premi	premi	
rosettaproject_epo_swadesh-1	epo	stand	stari	stari	
rosettaproject_epo_swadesh-1	epo	star	stelo	stelo	
rosettaproject_epo_swadesh-1	epo	stick	bastono	bastono	
rosettaproject_epo_swadesh-1	epo	stone	shtono	shtono	
rosettaproject_epo_swadesh-1	epo	straight	rekta	rekta	
rosettaproject_epo_swadesh-1	epo	suck	suchi	suʦhi	
rosettaproject_epo_swadesh-1	epo	sun	suno	suno	
rosettaproject_epo_swadesh-1	epo	swell	shveli	shveli	
rosettaproject_epo_swadesh-1	epo	swim	naghi	naɡhi	
rosettaproject_epo_swadesh-1	epo	tail	vosto	vosto	
rosettaproject_epo_swadesh-1	epo	that	tiu	tiu	
rosettaproject_epo_swadesh-1	epo	there	tie	tie	
rosettaproject_epo_swadesh-1	epo	they	ili	ili	
rosettaproject_epo_swadesh-1	epo	thick	dika	dika	
rosettaproject_epo_swadesh-1	epo	thin	maldika	maldika	
rosettaproject_epo_swadesh-1	epo	think	pensi	pensi	
rosettaproject_epo_swadesh-1	epo	this	chi-tiu	ʦhi tiu	
rosettaproject_epo_swadesh-1	epo	this	tiu chi	tiu ʦhi	
rosettaproject_epo_swadesh-1	epo	thou	ci	ʦi	
rosettaproject_epo_swadesh-1	epo	three	tri	tri	
rosettaproject_epo_swadesh-1	epo	throw	lanchi	lanʦhi	
rosettaproject_epo_swadesh-1	epo	tie	ligi	liɡi	
rosettaproject_epo_swadesh-1	epo	tongue	lango	lanɡo	
rosettaproject_epo_swadesh-1	epo	tooth	dento	dento	
